(alfonso1) c:\Fracture.v1i_Reduced_YoloFromScratch>python SSD_PRUEBA2.py
C:\Users\Alfonso Blanco\.conda\envs\alfonso1\lib\site-packages\numpy\_distributor_init.py:30: UserWarning: loaded more than 1 DLL from .libs:
C:\Users\Alfonso Blanco\.conda\envs\alfonso1\lib\site-packages\numpy\.libs\libopenblas.FB5AE2TYXYH2IJRDKGDGQ3XBKLKTF43H.gfortran-win_amd64.dll
C:\Users\Alfonso Blanco\.conda\envs\alfonso1\lib\site-packages\numpy\.libs\libopenblas64__v0.3.21-gcc_10_3_0.dll
  warnings.warn("loaded more than 1 DLL from .libs:"
Reading labels from  trainFractureOJumbo1\labels\
Reading labels from  trainFractureOJumbo1\labels\
Epoch 293, Loss: 0.003513923618860694
Epoch 294, Loss: 0.0034898329397185226
Epoch 295, Loss: 0.0036319437494967133
Epoch 296, Loss: 0.00375979403317025
Epoch 297, Loss: 0.003481499603760706
Epoch 298, Loss: 0.0036361398965095147
Epoch 299, Loss: 0.003559025328581196
Epoch 300, Loss: 0.003396681763980588
Epoch 301, Loss: 0.0035828813482579346
Epoch 302, Loss: 0.0034320835807562077
Epoch 303, Loss: 0.00365504456016965
Epoch 304, Loss: 0.003558066629527791
Epoch 305, Loss: 0.0035653813369257528
Epoch 306, Loss: 0.0035057573373165184
Epoch 307, Loss: 0.0033385686201162987
Epoch 308, Loss: 0.0034662288223468772
Epoch 309, Loss: 0.0035163234098109643
Epoch 310, Loss: 0.0034135630577676805
Epoch 311, Loss: 0.0035217210360978905
Epoch 312, Loss: 0.003437025930317169
Epoch 313, Loss: 0.00352997423426525
Epoch 314, Loss: 0.0034610488919251774
Epoch 315, Loss: 0.0034057117237180873
Epoch 316, Loss: 0.003403512609971536
Epoch 317, Loss: 0.0034411445400060934
Epoch 318, Loss: 0.0034717532595292338
Epoch 319, Loss: 0.0036005000033214486
Epoch 320, Loss: 0.00353656240543854
Epoch 321, Loss: 0.0034947284037952085
Epoch 322, Loss: 0.003468477260006743
Epoch 323, Loss: 0.0036083281974660583
Epoch 324, Loss: 0.003615089972201433
Epoch 325, Loss: 0.00349794136599411
Epoch 326, Loss: 0.003350723211533969
Epoch 327, Loss: 0.0034928300348739767
Epoch 328, Loss: 0.0034701572636746474
Epoch 329, Loss: 0.0033115508590157872
Epoch 330, Loss: 0.003481495371906439
Epoch 331, Loss: 0.003381954272422386
Epoch 332, Loss: 0.0034520798944868147
Epoch 333, Loss: 0.00345086251429559
Epoch 334, Loss: 0.003382884370276352
Epoch 335, Loss: 0.0035695310940059856
Epoch 336, Loss: 0.003617204933402103
Epoch 337, Loss: 0.003508181496825371
Epoch 338, Loss: 0.0035376222694066127
Epoch 339, Loss: 0.00352319612834804
Epoch 340, Loss: 0.003259851653883989
Epoch 341, Loss: 0.003417757309098552
Epoch 342, Loss: 0.0035933278795218446
Epoch 343, Loss: 0.0034378879621775973
Epoch 344, Loss: 0.0034450348985784157
Epoch 345, Loss: 0.0035139295403103067
Epoch 346, Loss: 0.0034906048614003165
Epoch 347, Loss: 0.00330737152064496
Epoch 348, Loss: 0.003391844007293568
Epoch 349, Loss: 0.00355821438574207
Epoch 350, Loss: 0.003334392113862811
Epoch 351, Loss: 0.0033693686520957665
Epoch 352, Loss: 0.0034090609642098077
Epoch 353, Loss: 0.003268919881225589
Epoch 354, Loss: 0.0032713793381746554
Epoch 355, Loss: 0.0035555697914615675
Epoch 356, Loss: 0.0033642821960981834
Epoch 357, Loss: 0.003437745200809897
Epoch 358, Loss: 0.0032832829802410327
Epoch 359, Loss: 0.0033786100299236037
Epoch 360, Loss: 0.0031410154486956024
Epoch 361, Loss: 0.0032877188279746552
Epoch 362, Loss: 0.0033667475855091236
Epoch 363, Loss: 0.003494310110171854
Epoch 364, Loss: 0.0033693803077865696
Epoch 365, Loss: 0.003454298511732722
Epoch 366, Loss: 0.003370220407157683
Epoch 367, Loss: 0.0034427596444918497
Epoch 368, Loss: 0.0032646691228414106
Epoch 369, Loss: 0.0032658112767102146
Epoch 370, Loss: 0.0033605172522240194
Epoch 371, Loss: 0.003450953429155807
Epoch 372, Loss: 0.0033227904012263125
Epoch 373, Loss: 0.003354557490171361
Epoch 374, Loss: 0.003373664552094163
Epoch 375, Loss: 0.0033119881849710806
Epoch 376, Loss: 0.0034349470798907852
Epoch 377, Loss: 0.0034799918019514835
Epoch 378, Loss: 0.0032616288564797187
Epoch 379, Loss: 0.003250995177360302
Epoch 380, Loss: 0.0033157475778795276
Epoch 381, Loss: 0.0033636224201276294
Epoch 382, Loss: 0.0034393931934106592
Epoch 383, Loss: 0.0032303944683155497
Epoch 384, Loss: 0.003234759600033883
Epoch 385, Loss: 0.003382466285099351
Epoch 386, Loss: 0.0032273145774819865
Epoch 387, Loss: 0.0033123510617548853
Epoch 388, Loss: 0.003300955724380155
Epoch 389, Loss: 0.0032453441872840397
Epoch 390, Loss: 0.003403990392610934
Epoch 391, Loss: 0.0032578693982843005
Epoch 392, Loss: 0.0033345226091458587
Epoch 393, Loss: 0.003261604340042214
Epoch 394, Loss: 0.0034292336408602627
Epoch 395, Loss: 0.00323966662698375
Epoch 396, Loss: 0.003356489337150108
Epoch 397, Loss: 0.0034236995270475745
Epoch 398, Loss: 0.0033035583941995895
Epoch 399, Loss: 0.0032321052599031275
Epoch 400, Loss: 0.0032998845413818047
Epoch 401, Loss: 0.0033301328209769986
Epoch 402, Loss: 0.003293289802968502
Epoch 403, Loss: 0.0032576290887428097
Epoch 404, Loss: 0.0031974768939402863
Epoch 405, Loss: 0.003253732085844653
Epoch 406, Loss: 0.003253605788592501
Epoch 407, Loss: 0.0031972503457910607
Epoch 408, Loss: 0.003244214236572687
Epoch 409, Loss: 0.003257751716552554
Epoch 410, Loss: 0.0033057741600567023
Epoch 411, Loss: 0.0031695547765372574
Epoch 412, Loss: 0.0032913056210098737
Epoch 413, Loss: 0.0032200936150951058
Epoch 414, Loss: 0.0031904228703383154
Epoch 415, Loss: 0.0031762264096303968
Epoch 416, Loss: 0.003271311625360033
Epoch 417, Loss: 0.003168633926622066
Epoch 418, Loss: 0.0032291144102723716
Epoch 419, Loss: 0.0032504368636354403
Epoch 420, Loss: 0.003299609957753706
Epoch 421, Loss: 0.0031970431052802785
Epoch 422, Loss: 0.003292582620004494
Epoch 423, Loss: 0.00326581735154488
Epoch 424, Loss: 0.0033094775139329
Epoch 425, Loss: 0.0032224690595113142
Epoch 426, Loss: 0.003198868325263312
Epoch 427, Loss: 0.003186810380193984
Epoch 428, Loss: 0.0032134407059906203
Epoch 429, Loss: 0.00321151757678898
Epoch 430, Loss: 0.0031498346762492547
Epoch 431, Loss: 0.0032108088371633377
Epoch 432, Loss: 0.0032277635056399616
Epoch 433, Loss: 0.0030860900399086342
Epoch 434, Loss: 0.0031328793092807
Epoch 435, Loss: 0.0032903350106239116
Epoch 436, Loss: 0.0033198390635850563
Epoch 437, Loss: 0.0032787833833198593
Epoch 438, Loss: 0.003146475484607288
Epoch 439, Loss: 0.0031489440683602683
Epoch 440, Loss: 0.003157066566731177
Epoch 441, Loss: 0.0032348798436893
Epoch 442, Loss: 0.0031950763297720333
Epoch 443, Loss: 0.0033592382615834876
Epoch 444, Loss: 0.0031356407806113666
Epoch 445, Loss: 0.0031577077886165194
Epoch 446, Loss: 0.0032671643295199486
Epoch 447, Loss: 0.003196160585896389
Epoch 448, Loss: 0.003016405877330013
Epoch 449, Loss: 0.003101939574588795
Epoch 450, Loss: 0.0030309799822626285
Epoch 451, Loss: 0.0030471334828542094
Epoch 452, Loss: 0.0031125911942532134
Epoch 453, Loss: 0.003136597078205464
Epoch 454, Loss: 0.003098911125955449
Epoch 455, Loss: 0.0031222134114343774
Epoch 456, Loss: 0.0032326958678675364
Epoch 457, Loss: 0.00314914361995368
Epoch 458, Loss: 0.0031690988500879423
Epoch 459, Loss: 0.0031518026355754685
Epoch 460, Loss: 0.003028129683681638
Epoch 461, Loss: 0.003252141455320541
Epoch 462, Loss: 0.003009139610504782
Epoch 463, Loss: 0.003080018818051227
Epoch 464, Loss: 0.0031399025528288976
Epoch 465, Loss: 0.0031498895747259863
Epoch 466, Loss: 0.0030822498579131993
Epoch 467, Loss: 0.0031708380918496768
Epoch 468, Loss: 0.003122113708790543
Epoch 469, Loss: 0.003011345462181379
